sma,buy,sell,score,avg_cagr,median_cagr,p25_cagr,win_rate_cagr_gt_30,avg_sharpe,avg_dd,worst_dd
175,0,2,0.43233620028198744,0.38488648418819116,0.40503593353082823,0.3271593972719169,0.85,0.9628644100713681,-0.48555626180287753,-0.5534817511508345
150,1,3,0.4209321486043988,0.37453540695728227,0.3882006590725804,0.3222590973557664,0.8,0.939158164419751,-0.49266673709951847,-0.5320982412840863
150,0,1,0.4185382398048131,0.3638067068334182,0.382604930608927,0.323034949123459,0.8,0.9267258719404546,-0.4812275028728593,-0.5479920444226354
150,0,0,0.41620125782661926,0.37027574277127345,0.38466054727556065,0.31791121592238425,0.78,0.9447647426916861,-0.47602603846068836,-0.5479920444226354
175,0,3,0.41436665197002914,0.37088543669197543,0.3853389874178266,0.3179195953428249,0.83,0.9393161507387329,-0.4897306382155844,-0.5479920444226354
175,1,3,0.40880676388405657,0.36290041205807283,0.3775923036614386,0.3160478641165605,0.81,0.9266880411773244,-0.4894520447160818,-0.5479920444226354
175,2,3,0.4078209600068019,0.36226586845863246,0.377316191745964,0.3129932733812544,0.79,0.9274667464929247,-0.48517080063804313,-0.5320982412840863
175,7,2,0.40779458142210556,0.3458558928661001,0.36341866916593735,0.31601952516636156,0.8,0.9337422681599334,-0.45795856354559805,-0.5516583177965697
100,7,7,0.4068746685235828,0.3527975077674111,0.3595841530264554,0.3156096425530477,0.8,0.9265916258985816,-0.4664707009510516,-0.5274027354648465
175,1,2,0.4046065956501584,0.3684970324981508,0.38851343180797104,0.30720424791041756,0.79,0.9354166529252071,-0.4884290098733507,-0.5479920444226354
175,2,2,0.3991048664425863,0.36692857901897497,0.39469004788545226,0.29886897310369287,0.74,0.9337669143536228,-0.4848269242677282,-0.5442774565717728
175,2,0,0.39581986229540816,0.34801494927571186,0.36493341293124204,0.3032950847661917,0.76,0.9190297926636621,-0.4626206356783552,-0.5320982412840864
125,0,4,0.39578558617041487,0.36507870795970837,0.3707462759271911,0.3165580679150892,0.78,0.9177994873983636,-0.5288965645976927,-0.6049004955933717
150,1,4,0.3946185897360961,0.3593431237907079,0.38082241697552344,0.30335044683969037,0.78,0.9114249065306603,-0.5028758158380531,-0.5458859766691387
125,1,4,0.39109611373149167,0.3600117551917382,0.3691824249578537,0.3068221486633984,0.76,0.9115664783678821,-0.5150050296336621,-0.5606459838054664
