sma,buy,sell,avg_rank_pct,median_rank_pct,top_10_rate,top_25_rate,avg_cagr,median_cagr,p25_cagr,avg_dd,worst_dd,beat_200_5_3_rate,score
175,0,2,0.09026422657032858,0.0353356890459364,0.7220149253731343,0.8899253731343284,0.42291194710919194,0.4251390673193318,0.34506753236787024,-0.4939414439399022,-0.5534817511508348,0.9328358208955224,0.3020149029529743
150,0,0,0.0984092347450029,0.04240282685512368,0.6996268656716418,0.9011194029850746,0.4122628611581837,0.4088102167755383,0.3538786567386163,-0.4777980052766543,-0.5479920444226354,0.9421641791044776,0.28916769441930273
150,1,3,0.10094404303570487,0.06007067137809187,0.6623134328358209,0.8936567164179104,0.4103490635807158,0.40643172684224127,0.3393038158301054,-0.493830126372768,-0.5320982412840859,0.9626865671641791,0.26331333376230553
175,0,3,0.10260534781920785,0.061837455830388695,0.6473880597014925,0.8899253731343284,0.407812644222128,0.4024837533508654,0.34219006706171107,-0.4950718922034019,-0.5479920444226352,0.9888059701492538,0.25722299213285055
150,0,1,0.11114260851220926,0.08833922261484099,0.5559701492537313,0.9123134328358209,0.4021138315201353,0.39385049752721635,0.3437138473479098,-0.48293952436717513,-0.5479920444226353,0.9552238805970149,0.21924601293374468
175,1,3,0.11869099731026844,0.09010600706713781,0.5261194029850746,0.9160447761194029,0.4012058099898997,0.393240691649162,0.3337187078698267,-0.49118996126873854,-0.5479920444226352,0.9626865671641791,0.19957488394938205
175,7,2,0.1319484731817942,0.08480565371024736,0.5597014925373134,0.8936567164179104,0.3887636511712413,0.3886561204552048,0.3352091779122137,-0.4615926207841624,-0.5516583177965693,0.875,0.19712296105487787
175,2,3,0.13530074890564844,0.08303886925795052,0.5634328358208955,0.789179104477612,0.40087781744864465,0.4026642140195462,0.32247194657554057,-0.48656315112406495,-0.532098241284086,0.8582089552238806,0.18002026454901857
150,7,3,0.13790148198934654,0.09010600706713781,0.5279850746268657,0.835820895522388,0.38107932883844003,0.37891747074377946,0.3348974765745121,-0.43452454073090246,-0.49627090604640456,0.8656716417910447,0.17673905708566634
175,1,2,0.12759414060439853,0.10070671378091872,0.4906716417910448,0.8675373134328358,0.4054156595420119,0.40623412935215963,0.328167703793139,-0.49224213571227365,-0.5479920444226352,0.8899253731343284,0.17314975352251996
175,2,2,0.15999947260165603,0.07773851590106007,0.5895522388059702,0.7406716417910447,0.4034759915854546,0.4132396650846146,0.31602768695235706,-0.48945583717728297,-0.5442774565717727,0.7873134328358209,0.15789732719185884
175,2,0,0.14514991297927324,0.10954063604240283,0.40671641791044777,0.878731343283582,0.3848865941628802,0.3805240501633511,0.31916390366632674,-0.46559325385395206,-0.5320982412840862,0.8824626865671642,0.12828975163417775
150,4,3,0.17501384420652918,0.09187279151943463,0.5167910447761194,0.8022388059701493,0.39146500656091937,0.40404965819572825,0.30812747903520554,-0.4854368713842962,-0.5381659451339582,0.8414179104477612,0.122160699805965
150,1,4,0.16264964928010126,0.0989399293286219,0.4962686567164179,0.7369402985074627,0.3912021277435464,0.3881081399787538,0.31471486948700367,-0.5050306641153524,-0.5458859766691375,0.8638059701492538,0.11834592839046096
100,7,7,0.1480242339539054,0.12190812720848057,0.4048507462686567,0.8115671641791045,0.38092387752234264,0.37653830791971177,0.3250760668567656,-0.4666918338258651,-0.5274027354648463,0.9626865671641791,0.11526551071343921
150,3,2,0.18721652339011657,0.0706713780918728,0.5541044776119403,0.6977611940298507,0.39189220557968046,0.39659064623001217,0.31036196772892977,-0.4951114559179162,-0.5320982412840859,0.7742537313432836,0.11495487313153369
150,4,2,0.19509453615315647,0.07597173144876325,0.5597014925373134,0.7444029850746269,0.3851987178855974,0.3939001244128566,0.3082619165117382,-0.48790460317624545,-0.5320982412840862,0.7798507462686567,0.11086725860497973
175,0,0,0.15841727756974844,0.13604240282685512,0.416044776119403,0.8339552238805971,0.3903733352115674,0.3874425518496776,0.31667515750882025,-0.48833045043216106,-0.5479920444226352,0.8861940298507462,0.10149424072108534
150,1,0,0.18760877590844366,0.10600706713780919,0.47761194029850745,0.7518656716417911,0.3808246304385569,0.38223163713890473,0.3061745700007694,-0.4795675606753291,-0.5320982412840862,0.8003731343283582,0.08641739183570118
