period,sma,buy_buffer,sell_buffer,cagr,max_drawdown,calmar,sharpe,trades,exposure,final_value
real_tqqq_2010,100,0,0,0.25219541650646526,-0.5584657767043768,0.4515861616350479,0.7502792359293552,181,0.760068342689773,39.00312390191354
real_tqqq_2010,100,0,1,0.2923030652871548,-0.5159295159429522,0.5665561985786359,0.817957420622204,105,0.7803270685867708,65.1852431034094
real_tqqq_2010,100,0,2,0.29859740601806695,-0.5637365571551896,0.5296754347897769,0.8163327116423328,73,0.7966804979253111,70.5544137833595
real_tqqq_2010,100,0,3,0.3247262187772464,-0.6164077877841905,0.5268042117776354,0.854897443749561,55,0.8113253600195265,97.60242352707962
real_tqqq_2010,100,0,4,0.34967371544740256,-0.6289991548486031,0.5559208033142226,0.8894340223364335,41,0.8281669514278741,132.26795063899328
real_tqqq_2010,100,0,5,0.32292381862627817,-0.7071232525868325,0.45667260614743277,0.8363723623840336,35,0.8430558945569929,95.46150188396244
real_tqqq_2010,100,0,6,0.3238711331953772,-0.7525310775942049,0.4303757583417991,0.8333022130913884,29,0.8525750549182328,96.58118085494404
real_tqqq_2010,100,0,7,0.33357311275134305,-0.7727481074103109,0.4316712128474016,0.8448107053388515,25,0.8638027825237979,108.78041199717296
real_tqqq_2010,100,0,8,0.3180668275319709,-0.8236296030558288,0.3861770222341208,0.8152439874385553,23,0.8730778618501343,89.90962459508144
real_tqqq_2010,100,1,0,0.2445892000085239,-0.6259565102547138,0.3907447178862248,0.7419694247516305,123,0.7373688064437394,35.31784204471124
real_tqqq_2010,100,1,1,0.2804785489127435,-0.5444643105057478,0.5151458846810538,0.8018897451807592,83,0.7578716133756407,56.12000099099176
real_tqqq_2010,100,1,2,0.2937548374634893,-0.5374777592664404,0.5465432427648939,0.8133722248015862,59,0.7742250427141811,66.3884602236772
real_tqqq_2010,100,1,3,0.316648423077893,-0.5765828303401794,0.5491811521530616,0.8474008631413265,47,0.7900903099829143,88.3463825594721
real_tqqq_2010,100,1,4,0.345098675002653,-0.5943886824513549,0.5805942898835327,0.8890412674157814,37,0.8091286307053942,125.15042814851599
real_tqqq_2010,100,1,5,0.32977790625352754,-0.6097966553588989,0.5407997950717441,0.8538940363961384,31,0.8230412496948987,103.84557976080895
real_tqqq_2010,100,1,6,0.3431456745010566,-0.6375632339817349,0.5382143389260855,0.867619680081079,25,0.8411032462777642,122.22295364326398
real_tqqq_2010,100,1,7,0.3592238385998674,-0.6375632339817349,0.5634324870906194,0.8888307058803059,21,0.8520868928484256,148.36736756567487
real_tqqq_2010,100,1,8,0.359255708003946,-0.6329640304108869,0.56757681438981,0.8839364896551174,19,0.8589211618257261,148.42404705682358
real_tqqq_2010,100,2,0,0.21676336718849476,-0.5698614498618233,0.3803790680016244,0.6943777579512288,95,0.711496216743959,24.43576121075058
real_tqqq_2010,100,2,1,0.2576358685246196,-0.5177374206176062,0.49761878949620286,0.7672962495415747,71,0.7329753478154747,41.857250062883985
real_tqqq_2010,100,2,2,0.2731093866088905,-0.5405054541682672,0.5052851631796255,0.7825393284712574,51,0.7542103978520869,51.08399253708697
